EndTime,Port,Slot,Time,TaskName,RecipeName,Group,Site,Cycle,Thickness,MSE,Iteration,AlignOffsetX,AlignOffsetY,StageX,StageY,StageZ,X,Y,Z,Symmetric,UV_C,UV_B,UV_A,Visible,IR,WVShift,SpectrumPath,SELampHeadTemp,SELampLaserTemp,TempNearQcell,Temp1xCam,TempEFEM,TempInnerHFFU,TempBelowFFU,TempAmbient,HumidInner,HumidOuter,ChuckVacuum1,ChuckVacuum2,RefFES,AFCount,StartPos,StartFES,StartSUM,StartQA,StartQB,StartQC,StartQD,FocusPos,FES,SUM,QA,QB,QC,QD
02/12/2024 04:39:58.108,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,1,1,19.5177,5.06E-06,1,865.711,-656.491,1933.098,-1345.173,-1509.604,-2800,2000,-1500,145932.3,3624.029,12980.482,12603.39,14476.013,4405.065,-0.359,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.452,25.011,28,27.3,26.4,27.9,26.1,23.8,33.5,41.4,-87.588,-87.634,,3,-1500.002,0.217492,3426.618,664.998291,1082.492,675.68,1003.449,-1509.603,0.042,3366.802,806.909,899.686,805.078,855.129
02/12/2024 04:39:59.449,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,2,1,19.4484,5.24E-06,1,865.711,-656.491,1933.1,-1345.176,-1509.603,-2800,2000,-1500,143806.4,3618.963,12979.455,12606.54,14479.26,4405.652,-0.356,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.452,25.011,28,27.3,26.4,27.9,26,23.8,33.5,41.4,-87.534,-87.611,,1,-1509.603,0.042807,3357.952,804.467896,896.939,802.637,853.908,-1509.603,0.043,3357.952,804.468,896.939,802.637,853.908
02/12/2024 04:40:00.881,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,3,1,19.4735,5.12E-06,1,865.711,-656.491,1933.101,-1345.175,-1509.602,-2800,2000,-1500,144697.8,3627.523,12987.027,12607.973,14480.644,4405.715,-0.362,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.452,25.011,28,27.3,26.4,27.9,26,23.8,33.5,41.5,-87.557,-87.588,,1,-1509.602,0.042799,3358.562,804.773071,898.16,802.637,852.992,-1509.602,0.043,3358.562,804.773,898.16,802.637,852.992
02/12/2024 04:40:02.461,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,4,1,19.4694,5.24E-06,1,865.711,-656.491,1933.1,-1345.173,-1509.66,-2800,2000,-1500,145302.5,3618.516,12979.708,12605.696,14477.59,4404.748,-0.356,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.456,25.002,28,27.3,26.4,27.9,26,23.8,33.5,41.4,-87.534,-87.603,,2,-1509.605,0.043092,3364.055,805.993835,899.38,803.552,855.129,-1509.661,0.042,3366.802,808.74,898.77,804.773,854.518
02/12/2024 04:40:03.839,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,5,1,19.4631,5.28E-06,1,865.711,-656.491,1933.1,-1345.174,-1509.661,-2800,2000,-1500,147171.5,3618.843,12985.817,12611.389,14483.724,4405.588,-0.36,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.456,25.002,28,27.3,26.4,27.9,26,23.8,33.5,41.5,-87.495,-87.572,,1,-1509.661,0.041757,3361.919,806.604187,897.549,804.163,853.603,-1509.661,0.042,3361.919,806.604,897.549,804.163,853.603
02/12/2024 04:40:05.195,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,6,1,19.4677,5.12E-06,1,865.711,-656.491,1933.102,-1345.172,-1509.66,-2800,2000,-1500,141485.2,3623.875,12993,12615.068,14487.819,4406.356,-0.359,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.456,25.002,28,27.3,26.4,27.8,26,23.8,33.5,41.4,-87.518,-87.596,,1,-1509.661,0.042177,3364.666,806.299011,898.465,805.078,854.823,-1509.661,0.042,3364.666,806.299,898.465,805.078,854.823
02/12/2024 04:40:06.565,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,7,1,19.4834,5.14E-06,1,865.711,-656.491,1933.099,-1345.171,-1509.661,-2800,2000,-1500,140297.2,3625.115,12986.249,12606.987,14479.975,4405.051,-0.359,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.456,25.002,28,27.3,26.4,27.8,26,23.8,33.5,41.4,-87.503,-87.557,,1,-1509.661,0.042003,3364.055,806.604187,897.549,804.773,855.129,-1509.661,0.042,3364.055,806.604,897.549,804.773,855.129
02/12/2024 04:40:08.028,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,8,1,19.5037,5.17E-06,1,865.711,-656.491,1933.101,-1345.174,-1509.66,-2800,2000,-1500,150009.8,3628.896,12992.504,12611.233,14484.833,4406.137,-0.362,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.452,24.992,28,27.3,26.4,27.8,26,23.8,33.5,41.4,-87.48,-87.565,,1,-1509.661,0.042261,3357.952,805.383423,897.244,802.637,852.687,-1509.661,0.042,3357.952,805.383,897.244,802.637,852.687
02/12/2024 04:40:09.423,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,9,1,19.5025,5.16E-06,1,865.711,-656.491,1933.101,-1345.175,-1509.661,-2800,2000,-1500,147640.9,3632.991,12993.279,12609.553,14482.111,4405.755,-0.358,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.452,24.992,28,27.3,26.4,27.8,26.1,23.8,33.5,41.4,-87.457,-87.557,,1,-1509.66,0.042284,3356.12,804.467896,896.023,802.637,852.992,-1509.66,0.042,3356.121,804.468,896.023,802.637,852.992
02/12/2024 04:40:10.814,LP3,1,02/12/2024 04:39:53.403,#4_Static 200X,#4_Static_200X_20A_R10_AF_ND05_225UV,g1,10,1,19.4683,5.30E-06,1,865.711,-656.491,1933.098,-1345.172,-1509.661,-2800,2000,-1500,145296.1,3620.534,12983.993,12607.915,14480.381,4405.442,-0.358,D:\Workspace\AEliT\bin\Debug\AEliT\SpectrumFolder\Slot01_Wafer Recipe-#4_Static_200X_20A_R10_AF_ND05_225UV_g1 2024-02-12 04-39-56-03,49.452,24.992,28,27.3,26.4,27.8,26.1,23.8,33.5,41.4,-87.457,-87.542,,1,-1509.66,0.041939,3361.919,806.299011,897.549,804.163,853.908,-1509.66,0.042,3361.919,806.299,897.549,804.163,853.908
