id,hour,hour_bef_temperature,hour_bef_precipitation,hour_bef_windspeed,hour_bef_humidity,hour_bef_visibility,hour_bef_ozone,hour_bef_pm10,hour_bef_pm2.5,count
0,7,20.7,0.0,1.3,62.0,954.0,0.041,44.0,27.0,104.37
1,17,30.0,0.0,5.4,33.0,1590.0,0.061,49.0,36.0,209.84
2,13,19.0,1.0,2.1,95.0,193.0,0.02,36.0,28.0,86.82
4,6,22.5,0.0,2.5,60.0,1185.0,0.027,52.0,38.0,32.59
5,22,14.6,1.0,3.4,93.0,218.0,0.041,18.0,15.0,83.02
10,9,20.2,0.0,4.3,39.0,2000.0,0.034,22.0,7.0,123.79
11,18,19.0,0.0,2.7,80.0,2000.0,0.028,17.0,12.0,194.56
12,18,31.2,0.0,2.2,42.0,621.0,0.117,94.0,69.0,322.05
15,6,20.1,0.0,0.8,78.0,463.0,0.026,57.0,33.0,33.5
17,8,17.0,1.0,0.9,100.0,200.0,0.022,12.0,12.0,114.24
18,20,26.7,0.0,3.9,34.0,2000.0,0.05,36.0,14.0,309.06
23,17,27.1,0.0,2.4,18.0,2000.0,0.046,25.0,7.0,248.74
25,13,27.5,0.0,2.4,56.0,651.0,0.058,39.0,29.0,82.57
26,2,22.4,0.0,1.3,59.0,913.0,0.047,43.0,29.0,37.69
31,23,24.2,0.0,0.7,50.0,2000.0,0.011,35.0,25.0,208.65
39,14,28.4,0.0,3.1,43.0,937.0,0.103,60.0,40.0,153.83
40,3,18.8,0.0,1.2,80.0,669.0,0.035,41.0,24.0,27.73
41,21,23.4,1.0,2.2,83.0,1138.0,0.042,36.0,28.0,175.49
42,18,29.4,0.0,3.3,43.0,1685.0,0.055,0.0,0.0,365.84
43,14,24.3,0.0,2.5,18.0,2000.0,0.045,34.0,8.0,150.72
51,16,29.4,0.0,4.4,36.0,1947.0,0.069,38.0,22.0,226.71
52,7,17.8,0.0,0.5,85.0,790.0,0.024,32.0,19.0,88.71
54,5,21.9,0.0,1.1,72.0,1274.0,0.013,29.0,20.0,15.91
60,12,27.2,0.0,1.9,43.0,1961.0,0.016,36.0,22.0,137.64
61,13,30.6,0.0,1.8,40.0,1012.0,0.045,44.0,29.0,140.15
62,11,26.5,0.0,1.2,56.0,1699.0,0.026,24.0,17.0,116.83
63,3,15.8,0.0,2.4,86.0,1067.0,0.048,22.0,15.0,31.33
65,10,19.7,0.0,4.3,32.0,2000.0,0.035,24.0,11.0,120.57
66,9,23.7,0.0,1.3,46.0,1719.0,0.011,42.0,26.0,114.62
68,15,28.2,0.0,1.8,51.0,897.0,0.086,39.0,32.0,161.14
71,0,22.5,0.0,0.1,79.0,1037.0,0.003,38.0,27.0,72.18
80,3,22.1,0.0,2.7,60.0,829.0,0.049,47.0,28.0,29.98
