id,hour,hour_bef_temperature,hour_bef_precipitation,hour_bef_windspeed,hour_bef_humidity,hour_bef_visibility,hour_bef_ozone,hour_bef_pm10,hour_bef_pm2.5,count
0,7,20.7,0.0,1.3,62.0,954.0,0.041,44.0,27.0,87.61
1,17,30.0,0.0,5.4,33.0,1590.0,0.061,49.0,36.0,210.37
2,13,19.0,1.0,2.1,95.0,193.0,0.02,36.0,28.0,90.58
4,6,22.5,0.0,2.5,60.0,1185.0,0.027,52.0,38.0,30.93
5,22,14.6,1.0,3.4,93.0,218.0,0.041,18.0,15.0,69.62
10,9,20.2,0.0,4.3,39.0,2000.0,0.034,22.0,7.0,120.33
11,18,19.0,0.0,2.7,80.0,2000.0,0.028,17.0,12.0,206.34
12,18,31.2,0.0,2.2,42.0,621.0,0.117,94.0,69.0,328.42
15,6,20.1,0.0,0.8,78.0,463.0,0.026,57.0,33.0,36.69
17,8,17.0,1.0,0.9,100.0,200.0,0.022,12.0,12.0,118.1
18,20,26.7,0.0,3.9,34.0,2000.0,0.05,36.0,14.0,301.23
23,17,27.1,0.0,2.4,18.0,2000.0,0.046,25.0,7.0,247.22
25,13,27.5,0.0,2.4,56.0,651.0,0.058,39.0,29.0,79.61
26,2,22.4,0.0,1.3,59.0,913.0,0.047,43.0,29.0,38.11
31,23,24.2,0.0,0.7,50.0,2000.0,0.011,35.0,25.0,211.29
39,14,28.4,0.0,3.1,43.0,937.0,0.103,60.0,40.0,157.73
40,3,18.8,0.0,1.2,80.0,669.0,0.035,41.0,24.0,27.33
41,21,23.4,1.0,2.2,83.0,1138.0,0.042,36.0,28.0,201.84
42,18,29.4,0.0,3.3,43.0,1685.0,0.055,0.0,0.0,376.9
43,14,24.3,0.0,2.5,18.0,2000.0,0.045,34.0,8.0,145.99
51,16,29.4,0.0,4.4,36.0,1947.0,0.069,38.0,22.0,228.26
52,7,17.8,0.0,0.5,85.0,790.0,0.024,32.0,19.0,87.26
54,5,21.9,0.0,1.1,72.0,1274.0,0.013,29.0,20.0,18.12
60,12,27.2,0.0,1.9,43.0,1961.0,0.016,36.0,22.0,142.99
61,13,30.6,0.0,1.8,40.0,1012.0,0.045,44.0,29.0,135.64
62,11,26.5,0.0,1.2,56.0,1699.0,0.026,24.0,17.0,115.28
63,3,15.8,0.0,2.4,86.0,1067.0,0.048,22.0,15.0,31.06
65,10,19.7,0.0,4.3,32.0,2000.0,0.035,24.0,11.0,118.38
66,9,23.7,0.0,1.3,46.0,1719.0,0.011,42.0,26.0,110.12
68,15,28.2,0.0,1.8,51.0,897.0,0.086,39.0,32.0,147.96
71,0,22.5,0.0,0.1,79.0,1037.0,0.003,38.0,27.0,68.96
80,3,22.1,0.0,2.7,60.0,829.0,0.049,47.0,28.0,29.08
82,1,22.8,0.0,2.4,52.0,2000.0,0.0,0.0,0.0,74.08
94,12,29.9,0.0,1.9,28.0,1761.0,0.039,47.0,28.0,127.37
98,19,23.4,0.0,5.2,34.0,2000.0,0.047,33.0,15.0,272.56
101,6,22.2,0.0,1.5,85.0,288.0,0.04,50.0,39.0,34.88
102,15,27.0,0.0,1.4,47.0,1912.0,0.028,44.0,30.0,127.67
107,18,18.8,1.0,1.6,73.0,1256.0,0.045,23.0,19.0,89.75
112,16,32.6,0.0,3.1,32.0,882.0,0.138,70.0,47.0,235.87
113,7,21.2,0.0,0.3,90.0,268.0,0.006,38.0,28.0,70.39
115,1,21.5,1.0,0.5,90.0,347.0,0.0,0.0,0.0,61.28
116,11,23.7,0.0,3.2,27.0,2000.0,0.046,21.0,12.0,123.58
120,8,16.6,0.0,1.0,44.0,2000.0,0.01,24.0,12.0,147.75
121,10,17.9,0.0,0.3,100.0,406.0,0.008,13.0,14.0,82.41
122,19,28.0,0.0,4.3,33.0,2000.0,0.066,40.0,28.0,329.39
132,22,20.8,0.0,1.6,62.0,1842.0,0.042,32.0,20.0,190.78
143,7,20.5,1.0,1.9,92.0,508.0,0.031,24.0,17.0,82.71
147,1,22.8,0.0,1.2,57.0,1190.0,0.0,0.0,0.0,69.04
150,4,18.3,0.0,3.1,74.0,391.0,0.051,49.0,37.0,16.81
151,0,21.7,0.0,2.3,64.0,1038.0,0.036,46.0,35.0,85.53
152,17,28.8,0.0,3.4,37.0,1966.0,0.07,45.0,26.0,242.14
153,0,24.8,0.0,1.7,54.0,2000.0,0.02,29.0,19.0,93.36
155,8,20.3,0.0,0.3,77.0,265.0,0.014,62.0,45.0,183.27
156,20,16.6,1.0,3.7,79.0,1729.0,0.039,21.0,14.0,91.12
159,14,28.5,0.0,2.0,26.0,1984.0,0.058,27.0,17.0,182.49
161,8,16.8,0.0,0.5,44.0,2000.0,0.026,31.0,15.0,129.55
163,2,19.6,0.0,1.8,39.0,2000.0,0.037,27.0,18.0,43.24
177,14,24.6,0.0,2.8,28.0,2000.0,0.051,37.0,15.0,169.63
186,5,20.9,0.0,2.4,84.0,1215.0,0.04,17.0,14.0,14.73
188,5,16.0,0.0,1.9,57.0,2000.0,0.031,33.0,18.0,19.32
190,7,18.6,0.0,1.0,64.0,2000.0,0.025,34.0,21.0,87.61
191,10,17.5,0.0,2.4,72.0,980.0,0.028,33.0,23.0,77.14
192,18,24.1,0.0,3.2,57.0,796.0,0.069,50.0,34.0,254.74
195,20,27.8,0.0,3.5,44.0,1414.0,0.069,57.0,42.0,310.65
200,23,21.5,0.0,1.6,65.0,1717.0,0.047,29.0,20.0,135.17
209,19,26.9,0.0,3.9,42.0,2000.0,0.057,40.0,26.0,313.21
210,5,21.2,0.0,0.5,90.0,324.0,0.0069999999999999,33.0,26.0,15.62
211,16,33.0,0.0,4.4,37.0,988.0,0.09,52.0,36.0,231.24
214,22,22.2,0.0,2.8,84.0,1497.0,0.009,24.0,19.0,122.05
215,3,23.1,0.0,1.9,64.0,1068.0,0.038,45.0,35.0,27.04
218,11,26.0,0.0,3.0,55.0,895.0,0.05,49.0,28.0,98.76
219,2,18.3,0.0,0.1,74.0,486.0,0.04,44.0,34.0,31.81
222,8,17.2,0.0,2.1,43.0,2000.0,0.026,20.0,15.0,122.3
225,5,18.2,0.0,1.4,81.0,857.0,0.036,39.0,22.0,15.92
228,19,28.3,0.0,3.0,24.0,2000.0,0.056,31.0,15.0,316.84
236,15,27.3,0.0,4.1,21.0,2000.0,0.061,28.0,17.0,222.44
241,6,17.0,0.0,0.6,51.0,2000.0,0.034,20.0,17.0,34.16
242,16,25.4,0.0,3.4,50.0,1845.0,0.054,34.0,25.0,159.78
